LOC_id,mnemonic,LOC_desc,active_flag
35,ds5100,Confidently work in an appropriate programming environment (IDE),Y
36,ds5100,Confidently write a class and call its methods to simulate a scenario,Y
37,ds5100,Confidently write and call functions in both Python and R,Y
38,ds5100,Correctly pass parameters and retrieve function output(s),Y
39,ds5100,Data structures (e.g. sequences and collections: set list dict tuple),Y
40,ds5100,Demonstrate how methods are inherited from base classes,Y
41,ds5100,Essential primitives (e.g. bool int float),Y
42,ds5100,Find and utilize resources including online documentation,Y
43,ds5100,I/O: at least three different formats including csv txt JSON,Y
44,ds5100,Identify and utilize primitive data types and data structures [Built in],Y
45,ds5100,Import data into a Pandas Dataframe,Y
46,ds5100,Incorporating some exception handling,Y
47,ds5100,NumPy Pandas (essentials),Y
48,ds5100,Patch/debug broken code,Y
49,ds5100,Patch/debug code using in-line testing and unit testing (advanced),Y
50,ds5100,Perform sensitivity analysis on functions (e.g. changing inputs and measuring impact on outputs),Y
51,ds5100,Perform simple mathematical calculations (Python and R),Y
52,ds5100,R: Apply the Tidyverse Pipe operator to aggregate data,Y
53,ds5100,R: Apply the Tidyverse verbs such as: select filter() arrange() mutate() summarize(),Y
54,ds5100,R: data types,Y
55,ds5100,R: Demonstrate use of element-wise operations,Y
56,ds5100,R: essential built-in functions like ,Y
57,ds5100,R: get started in RStudio and navigate around,Y
58,ds5100,R: save code in an R script,Y
59,ds5100,R: vectorization,Y
60,ds5100,Read and Write to and from various data formats,Y
61,ds5100,Read code on GitHub,Y
62,ds5100,Select and apply an appropriate data structure based on the problem requirements,Y
63,ds5100,Use a program API to utilize existing functions (e.g. assert statements.),Y
64,ds5100,Using program API to utilize existing functions (e.g. sorting searchinassert statements etc.),Y
65,ds5100,Utilize and implement add-on numerical packages to augment existing data structures,Y
66,ds5100,Write robust code by implementing the basic principles of program testing and debugging,Y
67,ds5110,Execute distributed computing frameworks using MapReduce and Spark ,Y
68,ds5110,Demonstrate knowledge of applications for big data storage retrieva processingand modeling using Amazon AWS Hive and others from the Hadoop ecosystem ,Y
69,ds5110,Implement PySpark for prevalent data science tasks including data analysis and machine learning,Y
70,ds5110,Execute an end-to-end predictive modeling project using a large dataset,Y
71,ds5110,This is a bullshit course Learning OC,Y
72,ds5110,Apply RDDs and Pair RDDs in data analysis tasks,Y
73,ds5110,Apply DataFrames in data analysis tasks,Y
74,ds5110,Apply Spark SQL to data analysis tasks,Y
75,ds5110,Demonstrate how to preprocess data in PySpark,Y
76,ds5110,Identify the basics of the MLlib library in PySpark,Y
77,ds5110,Implement classification models in MLlib,Y
78,ds5110,Identify the statistics functionality in MLlib,Y
79,ds5110,Implement regression models in MLlib,Y
80,ds5110,Examine the alternating least squares algorithm,Y
81,ds5110,Implement recommender systems in PySpark using collaborative filtering,Y
82,ds5110,Execute the feature utilities package in ML,Y
83,ds5110,Construct machine learning pipelines,Y
84,ds5110,Apply dimension reduction techniques using PySpark,Y
85,ds5110,Execute model selection and tuning in PySpark,Y
86,ds5110,Distinguish the use and benefits of accumulators and broadcast variables,Y
87,ds5110,Build machine learning tools for the supervised learning task,Y
88,ds5110,Use hyperparameter tuning in Spark,Y
89,ds5110,Understand the concepts behind HDFS,Y
90,ds5110,Understand the concepts behind Hive.,Y
91,ds5110,Have some familiarity with running PySpark in a Databricks notebook,Y
92,ds5110,Understand how EC2 and S3 are used for computing and storage respectively,Y
93,ds5110,Demonstrate the steps for configuring and launching an AWS EC2 instance,Y
94,ds5110,Understand the capabilities of Amazon Glue and Athena,Y
95,ds5110,Understand the concepts and use cases behind Apache Kafka,Y
96,ds5110,Create and configure an Amazon S3 bucket,Y
97,ds5110,Apply the concepts behind streaming systems,Y
98,ds5110,Execute the Spark Streaming library,Y
99,ds5110,Compute analytics using Spark Streaming,Y
100,ds5110,Explain the properties of data lakes and data lakehouses,Y
101,ds5110,Explain the shortcomings of data lakes and how data lakehouses address these shortcomings,Y
102,ds5110,Work with Apache Delta lakes to implement their salient features (create delete update conditional update time travel),Y
103,ds5110,Implement GraphX and GraphFrames in Spark,Y
104,ds6001,Recognize how to get help with coding in a way that is accurate and efficient while demonstrating how to be a good citizen in online forums,Y
105,ds6001,Implement methods for acquiring electronic data in many formats: csv flat files json from APIs and using web scraping and loading it into Python,Y
106,ds6001,Understand the purpose typology and language of relational databases,Y
107,ds6001,Understand the purpose typology and language of NoSQL databases,Y
108,ds6001,Understand how to implement databases Python: SQLite PostgreSQL MySQL MongoDB,Y
109,ds6001,Understand how to query databases with SQL ,Y
110,ds6001,Understand how to query databases with the MongoDB query language,Y
111,ds6001,Employ methods for wrangling joining and aggregating data using pandas,Y
112,ds6001,Understand relationships in data using summary statistics hypothesis tests measurement models,Y
113,ds6001,Understand relationships in data using visualization with matplotlib seaborn plotly,Y
114,ds6002,Identify situations that demand ethical responses involving data science,Y
115,ds6002,Develop the skills to respond creatively to critical ethics issues in data science,Y
116,ds6003,Build knowledge about the education and training needed for a particular job career path and entry into the data science profession,Y
117,ds6003,Observe receive information and ask questions to acquire knowledge and awareness of data science professions,Y
118,ds6003,Relate academics with the world of work by connection data science careers to program coursework,Y
119,ds6011,Collect and manage data to devise solutions to assigned research projects,Y
120,ds6011,Select apply and evaluate models tools and methods to address research projects,Y
121,ds6011,Interpret and assess results and evaluate the limitations of research findings,Y
122,ds6011,Resolve group work allocation leadership and cooperation issues,Y
123,ds6012,Identify situations that demand ethical responses involving data science,Y
124,ds6012,Develop the skills to respond creatively to critical ethics issues in data science,Y
125,ds6013,Collect and manage data to devise solutions to assigned research projects,Y
126,ds6013,Select apply and evaluate models tools and methods to address research projects,Y
127,ds6013,Interpret and assess results and evaluate the limitations of research findings,Y
128,ds6013,Resolve group work allocation leadership and cooperation issues,Y
129,stat6021,Use regression analysis to answer questions of interest in a wide variety of application environments,Y
130,stat6021,Determine the most appropriate regression model for a given data set,Y
131,stat6021,Identify the assumptions and limitations of a given regression model,Y
132,stat6021,Diagnose and remedy common problems with the regression model found in real data,Y
133,stat6021,Work with various data structures and primitive data types in the R programming language,Y
134,stat6021,Process R dataframes into the forms necessary for subsequent analysis including subsetting by rows columns condition changing column names removing missing values combining dataframes with vectors,Y
135,stat6021,Use the appropriate numerical and graphical summaries based on the question of interest and type of data,Y
136,stat6021,Use the statistical software R for regression analysis,Y
137,stat6021,State appropriate context-specific conclusions from an analysis,Y
138,stat6021,Present and discuss orally and in writing statistical ideas methods and results to lay and professional audiences,Y
139,stat6021,Work in teams to demonstrate the skills of a professional statistician in organizing and managing projects,Y
140,stat6021,Describe the mathematical framework of regression models,Y
141,stat6021,Describe the importance of assessing the assumptions and limitations for a given regression model,Y
142,ds6030,Build classification and regression models for a given data set using R statistical software,Y
143,ds6030,Explain the statistical theory used in data mining that affects how each type of model makes predictions,Y
144,ds6030,For a given data set and model determine the optimal algorithmic parameters to customize the results of the model based on practical goals,Y
145,ds6030,Evaluate the performance of a model in terms of various factors such as accuracy computational cost interpretability and practical requirements,Y
146,ds6030,Determine the most appropriate algorithm for a given data set based on the needs of the user,Y
147,ds6030,Use visualization techniques to help users understand and interpret the data mining results,Y
148,ds6030,Implement KNN regression and classification models in R,Y
149,ds6030,Build linear and nonlinear regression models in R,Y
150,ds6030,Evaluate bias-variance tradeoff of linear regression method,Y
151,ds6030,Implement LR LDA and QDA classification in R,Y
152,ds6030,Implement cross-validation,Y
153,ds6030,Understand the theory behind principal components,Y
154,ds6030,Use principal components transformation to visualize data,Y
155,ds6030,Use regularization (shrinkage PCA lasso) to improve regression accuracy,Y
156,ds6030,Build a CART in R and use for both classification and regression,Y
157,ds6030,Build a random forest (RF) for classification and for regression in R,Y
158,ds6030,Use an SVM for classification and regression in R,Y
159,ds6030,Use K-Means clustering to explore new data in R,Y
160,ds6030,Use hierarchical clustering to create and evaluate clusters in R,Y
161,ds6040,Probability review,Y
162,ds6040,Use the elements of Bayes theorem in problem solving,Y
163,ds6040,Use univariate conjugate priors to analytically obtain the posterior distribution,Y
164,ds6040,Use multivariate conjugate priors to analytically obtain the posterior distribution,Y
165,ds6040,Use non-informative priors to analytically obtain the posterior distribution,Y
166,ds6040,Formulate real problems using the fundamentals of statistical decision theory,Y
167,ds6040,Apply the principles of statistical decision theory to obtain the optimal solutions to classification problems,Y
168,ds6040,Develop approximate solutions when the required assumptions for optimality in classification are not met,Y
169,ds6040,Apply the principles of statistical decision theory to obtain the optimal solutions to regression problems,Y
170,ds6040,Formulate a graphical representation of a joint distribution using nodes to represent conditional probabilities,Y
171,ds6040,Display Bayesian models using graphs,Y
172,ds6040,Represent generative models using graphs,Y
173,ds6040,Apply graphical methods to real problems in text analysis,Y
174,ds6040,Apply simple sampling methods to approximate distributions,Y
175,ds6040,Devise Markov models for real problems with conditional dependence,Y
176,ds6040,Formulate the Markov Chain Monte Carlo (MCMC) approaches to sampling,Y
177,ds6040,Apply MCMC to real and complex problems in Bayesian inference,Y
178,ds6040,Apply MCMC to real and complex problems in classifications.,Y
179,ds6040,Apply MCMC to real and complex problems in regressions,Y
180,ds6040,Use Bayes factors for model selection,Y
181,ds6040,Formulate and use hierarchical models on real problems,Y
182,ds6040,Use information criteria for model selection,Y
183,ds6040,Formulate and use Bayesian model averaging on real problems,Y
184,ds6040,Apply the expectation-maximization (EM) algorithm to problems in unsupervised learning,Y
185,ds6040,Formulate problems with latent variables,Y
186,ds6040,Formulate problems for solution by the EM algorithm,Y
187,ds6040,Use Laplacian approximation to estimate probabilities in complex problems,Y
188,ds6040,Formulate a variational approximation for a Bayesian inference problem,Y
189,ds6040,Apply variational inference to problems with analytic solutions for comparisons of results,Y
190,ds6040,Represent variational inference using the EM algorithm,Y
191,ds6040,Use optimization methods to obtain solutions for variational approximations to real problems,Y
192,ds6040,Apply evaluation methods to assess the performance of optimizations to obtain variational approximations,Y
193,ds6040,Apply Markov random field models to represent problems in Bayesian machine learning,Y
194,ds6040,Formulate Hidden Markov Model (HMM) solution strategies,Y
195,ds6040,Apply HMMs to problems in data science,Y
196,ds6040,Identify the range of applicability of methods from Bayesian machine learning to real problems in data science.,Y
197,ds6040,Connect the many concepts discussed in the course to provide a foundation for continued learning,Y
198,ds6050,Create an end-to-end machine learning project at scale using open-source libraries such as NumPy Keras TensorFlow and Google Cloud,Y
199,ds6050,Formulate various supervised unsupervised and reinforcement learning models,Y
200,ds6050,Apply practical skill sets on designing deploying and analyzing deep network architectures on complex real-world problems,Y
201,ds6050,Use NumPy to describe identify and process multi-dimensional arrays and matrices.,Y
202,ds6050,Identify the components of linear algebra most relevant to deep learning.,Y
203,ds6050,Summarize numerical concerns for implementations of deep learning algorithms.,Y
204,ds6050,Design a simple architecture of a multilayer perceptron (MLP).,Y
205,ds6050,Understand how to design different activation functions to solve the vanishing/exploding gradient problem,Y
206,ds6050,Formulate several forms of regularization strategies to create a large deep regularized model,Y
207,ds6050,Review applications of convolutional neural networks (CNNs),Y
208,ds6050,Study the basics of recurrent neural networks (RNNs),Y
209,ds6050,Explore the shortcomings of basic RNNs and how to alleviate them with long short-term memory (LSTM) cells,Y
210,ds6050,Investigate in-depth how autoencoders work and how to use them for dimensionality reduction and feature extraction,Y
211,ds6050,Interpret hidden latent variables using perturbation and generate new examples,Y
212,ds6050,Explain the training process of adversarial neural networks (GANs) where two neural networks compete against each other and its difficulties,Y
213,ds6050,Explore various applications of GANs and their recent advances,Y
214,ds6050,Explore the basic components of reinforcement learning (RL) including the Markov decision process (MDP),Y
215,ds6050,Learn to solve for the optimal state-action value by using Q-Learning and Deep Q-Networks (DQNs),Y
216,ds6050,Examine policy gradients (PGs) to directly optimize the policy as well as a hybrid method called actor critic advantage,Y
217,ds6050,Understand how to deploy models to TF Serving and then scale up to Google Cloud AI Platform,Y
218,ds6050,Deploy models to mobile apps embedded devices and web apps,Y
219,ds6050,Understand how adversarial attacks work,Y
220,ds6050,Explore bias in data and algorithms,Y
221,ds6050,Analyze the issues in uncertainty estimation,Y
222,ds_biz_analytics,Understand the fundamentals of modern business with an emphasis on stakeholders value-creation industries markets and competition,Y
223,ds_biz_analytics,Apply data science tools to the primary business functions in which they may be working: strategy sales marketing finance operations human resources and technology,Y
224,ds_biz_analytics,Understand key data sources models metrics and tools that will be critical to their success during their careers as they work in or support each of these business areas.,Y
225,ds_biz_analytics,Apply ethical data science principles to key business functions (e.g. finance marketing etc),Y
226,ds_biz_analytics,Use critical thinking skills to understand analyze or solve business problems,Y
227,ds_biz_analytics,Communicate effectively in both speech and writing,Y
228,ds_biz_analytics,Collaborate effectively with peers,Y
229,ds_biz_analytics,Formulate and ask insightful questions,Y
230,ds_biz_analytics,Engage appropriately with senior executives at an enterprise level,Y
